# Coastline segments for fractal box-counting analysis
# Format: x1 y1 x2 y2
# Source: Natural Earth coastline data
# Number of segments: 2000
# Total length: 302.27 degrees
# Bounds: X=[-17.3458, 180.0000], Y=[-34.7566, 77.6411]
#
-5.231494 55.448096 -5.105420 55.448828
-6.102734 56.645654 -6.138281 56.649854
-6.310645 56.552148 -6.138867 56.490625
-6.176172 56.288721 -5.777881 56.344336
-6.311279 55.856494 -6.344141 55.873730
-6.466455 55.768994 -6.495654 55.711572
-6.286426 55.772510 -6.302051 55.728369
-6.088379 55.657520 -6.055322 55.695312
-5.970312 55.992188 -5.911768 55.974756
-6.041553 55.806787 -5.990918 55.803809
-5.799609 56.108789 -5.939062 56.045264
-3.278809 58.781934 -3.222119 58.780957
-3.227637 58.857178 -3.271924 58.905273
-4.471973 53.176367 -4.418848 53.178027
-4.049365 53.305762 -4.154883 53.302832
-2.929395 58.741602 -2.913086 58.799609
-2.994678 59.005566 -3.070703 59.004980
-3.156494 59.136328 -3.248584 59.143945
-3.331641 58.971240 -3.304346 58.967432
-3.200781 58.925293 -3.166602 58.919092
-2.762451 58.955811 -2.817920 58.981885
-6.402441 58.041357 -6.403369 58.075879
-6.375586 58.184570 -6.325830 58.188867
-6.297168 58.486621 -6.544189 58.383154
-6.726465 58.189404 -6.812305 58.196094
-7.044922 58.201562 -7.085254 58.182178
-7.016895 58.054785 -6.985303 58.050488
-6.856836 57.923535 -6.944141 57.893652
-6.956934 57.750049 -6.910352 57.773389
-6.279053 56.964697 -6.260547 56.985254
-6.322705 57.202490 -6.266113 57.184326
-5.987305 57.044434 -5.949072 57.045166
-5.672461 57.252686 -5.706006 57.268945
-6.140820 57.353662 -6.163770 57.408838
-6.305957 57.671973 -6.357666 57.666797
-6.583008 57.507129 -6.605859 57.490674
-6.741309 57.412451 -6.675439 57.362891
-7.391895 57.645215 -7.440039 57.656396
-7.320557 57.533740 -7.182617 57.533301
-7.422363 57.229346 -7.415918 57.192139
-7.249854 57.115332 -7.247559 57.126367
-7.504785 56.951660 -7.416895 56.965430
-1.385840 50.733545 -1.515674 50.703320
-1.196094 50.599219 -1.175830 50.615234
54.685059 40.873047 54.657031 40.858350
54.377344 40.693262 54.329883 40.688770
53.763770 40.665674 53.693750 40.746436
53.191992 40.809473 53.145215 40.824951
52.849902 40.685645 52.784766 40.546729
52.898242 39.912500 52.964844 39.833887
53.288574 39.958008 53.404199 39.960352
53.472266 39.668799 53.533301 39.641748
53.304980 39.557080 53.235645 39.608545
53.266797 39.342627 53.336328 39.340820
53.709766 39.153418 53.724121 39.103076
53.851562 38.621777 53.840039 38.514941
53.847852 37.669580 53.897852 37.413574
54.016211 36.849658 53.970117 36.818311
53.827441 36.881201 53.915430 36.930322
51.118555 36.742578 50.927441 36.810205
50.130469 37.407129 49.980664 37.444873
49.080957 37.667578 49.015332 37.776074
48.868750 38.435498 48.850879 38.815332
49.111328 39.084717 49.108691 39.029053
49.321191 39.328906 49.362793 39.349561
49.477344 40.087256 49.551172 40.194141
50.365918 40.279492 50.306836 40.412207
49.851758 40.577197 49.775977 40.583984
49.226465 41.026221 49.174707 41.116113
48.664648 41.786621 48.572852 41.844482
48.228613 42.180957 48.080176 42.353711
47.634863 42.903467 47.529004 42.967139
47.489844 43.381689 47.508984 43.509717
47.462793 43.555029 47.429199 43.779883
47.023633 44.343262 46.915723 44.387158
46.755273 44.656543 46.841211 44.718262
47.083789 44.816992 47.114746 44.905957
47.351270 45.217725 47.391113 45.294775
47.529492 45.530225 47.524219 45.601709
47.633301 45.584033 47.649805 45.656738
48.159180 45.737012 48.257617 45.777783
48.689648 45.888867 48.729590 45.896826
48.742578 46.100732 48.809961 46.100488
49.232227 46.337158 49.205664 46.385693
49.437207 46.537256 49.584375 46.545215
50.101562 46.696436 50.306250 46.794922
50.582910 46.882275 50.679883 46.938721
51.615234 47.029932 51.650098 47.018066
52.138281 46.828613 52.188770 46.839502
52.677637 46.957129 52.916016 46.954395
53.132422 46.608350 53.078516 46.547461
52.887500 45.779541 52.773828 45.572754
52.910742 45.319727 52.771973 45.343506
51.539648 45.342871 51.415723 45.357861
51.040332 44.980322 51.009375 44.921826
51.310254 44.618750 51.366309 44.599854
51.310742 44.532422 51.177148 44.501367
50.409473 44.624023 50.297461 44.581543
50.331152 44.325488 50.471777 44.294775
51.064844 43.750146 51.139648 43.648779
51.313379 43.355664 51.292383 43.230713
51.700391 43.104053 51.785156 43.004346
52.018555 42.860547 52.075586 42.879785
52.493945 42.820264 52.550000 42.805469
52.573242 42.330859 52.517188 42.237158
52.609375 41.529443 52.747266 41.365430
52.882227 41.613672 52.883496 41.652539
53.164160 42.093799 53.284961 42.081836
53.846484 42.091162 53.953809 41.868457
54.284570 41.363721 54.592188 41.193555
180.000000 68.983447 179.868262 69.012695
178.848340 69.387207 178.442773 69.452979
176.107520 69.860303 175.921484 69.895313
174.319434 69.881641 173.948047 69.874121
173.056348 69.864941 172.869238 69.919775
170.486816 70.107568 170.525391 69.937891
170.582227 69.583350 170.714160 69.388232
170.065625 68.798682 169.609863 68.786035
168.423047 69.239502 168.303027 69.271484
167.856836 69.728223 167.628125 69.740332
165.760742 69.584424 164.513281 69.609131
163.201367 69.714746 162.944629 69.682764
161.536914 69.379541 161.480078 69.300098
161.365137 68.822998 161.230176 68.653906
161.340625 68.905176 161.309863 68.982275
160.910742 69.606348 160.739453 69.655176
159.831445 70.081445 159.889648 70.158789
159.804688 70.604932 159.727930 70.649658
156.684570 71.093750 155.895215 71.095508
153.460645 70.878613 152.798340 70.835645
151.759766 71.217822 151.582422 71.286963
150.242969 71.267188 150.097656 71.226562
150.599805 71.520117 150.060840 71.510840
149.237891 71.687939 148.968164 71.690479
149.279688 71.825537 149.881055 71.843018
149.501563 72.164307 148.964844 72.252344
146.894727 72.197510 146.367969 71.922070
144.989648 71.753369 145.017871 71.793701
145.125781 71.927148 145.271191 71.894629
145.710156 72.177588 145.709668 72.206348
146.137305 72.146484 146.230273 72.137500
146.807031 72.236572 146.831836 72.295410
144.169238 72.258789 144.360938 72.265332
145.467090 72.362061 146.234766 72.349707
145.199316 72.570215 144.568652 72.609912
141.518359 72.788672 141.309766 72.857715
140.972852 72.716992 140.983203 72.630029
139.473633 72.466504 139.140820 72.329736
139.616992 72.225684 140.134375 72.209619
139.640234 71.998340 139.359277 71.951367
139.984180 71.491504 139.632129 71.489258
138.670020 71.634814 138.525195 71.562744
137.995703 71.463525 137.927344 71.429785
138.090625 71.307422 138.032520 71.285840
137.991699 71.142725 137.939648 71.133398
137.115820 71.415674 136.406152 71.570752
135.022363 71.515039 134.813867 71.460596
133.130859 71.606689 132.839258 71.755176
132.653906 71.925977 132.562305 71.895313
131.990820 71.293213 132.035352 71.244043
131.268262 70.765527 131.157422 70.742188
130.668457 70.888330 130.537109 70.892529
129.224512 71.508838 129.134277 71.592871
129.460840 71.739307 129.291797 71.850195
129.040137 71.782422 128.911426 71.755322
127.803418 72.434033 128.196973 72.309619
129.411719 72.315479 129.281348 72.437695
128.508496 72.547314 128.633398 72.550146
129.017285 72.872461 128.674023 72.885889
129.100586 73.112354 129.059180 73.107520
128.587012 73.262402 128.257812 73.267480
127.996875 73.425635 127.955078 73.445557
126.552539 73.334912 126.335449 73.388770
126.295996 73.536670 126.254492 73.548193
125.617090 73.520605 124.796289 73.711768
123.796875 73.626758 123.491113 73.666357
123.355273 73.402490 123.383887 73.347314
123.461621 73.144189 123.404590 73.085645
122.526758 73.016699 122.501953 72.970654
122.260156 72.880566 122.029785 72.897217
120.597949 72.981104 119.921680 72.971338
118.376563 73.367236 118.457031 73.464404
118.450195 73.589795 117.308594 73.599170
113.856934 73.533398 113.510352 73.504980
113.829297 73.326562 113.765234 73.317969
113.542773 73.054346 113.417480 72.932178
113.630078 72.677100 113.711914 72.654150
113.127832 72.830664 113.247363 72.897217
113.276953 73.391504 113.156934 73.459570
113.032813 73.913867 112.934961 73.945703
112.400000 73.711133 112.147266 73.708936
111.459961 74.004834 111.550586 74.028516
110.261426 74.017432 110.083887 73.994385
109.752734 73.722559 110.091211 73.708545
110.868164 73.730713 110.773340 73.689160
109.165625 73.399609 109.089941 73.378418
108.001270 73.235596 107.750391 73.173145
106.208789 73.060547 106.159570 73.002002
105.392773 72.841016 105.677148 72.959277
107.271094 73.621045 107.765430 73.625000
109.863867 74.208887 109.911328 74.261328
110.892773 74.548096 111.299023 74.658447
113.726172 75.450635 113.558887 75.502051
112.955664 75.571924 112.729590 75.737646
113.126367 75.698682 113.391602 75.677881
113.619922 75.592676 113.748730 75.704785
113.365527 76.178857 113.272656 76.251660
113.094043 76.132910 113.046680 76.114111
112.742578 76.186914 112.684180 76.218848
111.942676 76.380469 112.016797 76.420557
111.392480 76.686670 111.114844 76.723047
