time,file_path,grid_nx,grid_ny,interface_segments,interface_points,fractal_dimension,fractal_r_squared,fractal_interface_type,fractal_analysis_time,interface_extraction_time,total_analysis_time,characteristic_length,tortuosity,complexity_score,connectivity_ratio,initial_delta,delta_factor,num_steps,bubble_count,spike_count,bubble_penetration_height,spike_penetration_depth,mixing_width,interface_mean_height,interface_amplitude,interface_power_law_slope,interface_power_law_r_squared,interface_dominant_wavelength,interface_total_energy,interface_peak_power,vof_power_law_slope,vof_power_law_r_squared,vof_dominant_wavelength,vof_total_energy,vof_peak_power,u_velocity_power_law_slope,u_velocity_power_law_r_squared,u_velocity_dominant_wavelength,u_velocity_total_energy,u_velocity_peak_power,v_velocity_power_law_slope,v_velocity_power_law_r_squared,v_velocity_dominant_wavelength,v_velocity_total_energy,v_velocity_peak_power,tke_power_law_slope,tke_power_law_r_squared,tke_dominant_wavelength,tke_total_energy,tke_peak_power,power_spectrum_analysis_time,multifractal_d0,multifractal_d1,multifractal_d2,multifractal_d_inf,multifractal_d_minus_inf,multifractal_alpha_min,multifractal_alpha_max,multifractal_alpha_0,multifractal_f_alpha_max,multifractal_width,multifractal_asymmetry,multifractal_mean_r_squared,multifractal_n_scales,multifractal_analysis_time,mixing_zone_width,upper_boundary,lower_boundary,interface_position,mixed_fraction,unmixed_light_fraction,unmixed_heavy_fraction,mixing_efficiency,concentration_variance,segregation_index,mixing_analysis_time,u_mean,v_mean,u_rms,v_rms,velocity_magnitude_mean,velocity_magnitude_rms,velocity_magnitude_max,turbulent_kinetic_energy,reynolds_stress,turbulence_intensity,velocity_analysis_time
0.0,RT160x200-0.vtk,161,201,477,478,1.0,1.0,near_linear,0.0,0.7300496101379395,4.359867334365845,0.00014003901421260042,1.000007873105625,0.21842904492148618,0.5513626834381551,3.946852931147049e-08,2.0,6,11,11,2.119198994066096e-08,2.47810359177425e-08,4.597302585840346e-08,0.2500000023584537,4.933566163933811e-08,-11.39882837418474,0.788647431150658,0.0147531512605042,2.0260767896118842e-13,1.428735167918741e-15,3.0832903704201,0.07355843412990026,0.24999999999999992,2489.9727218916364,456.1171283599394,-0.0689668653172693,0.03833813120607854,0.3123475237772121,2.7923731844722622e-06,4.872885441572176e-09,-0.01643889311706635,0.0021119149026460615,0.3999999999999999,2.7414849429107897e-06,4.05745926716548e-09,-0.0689668653172693,0.03833813120607854,0.3123475237772121,2.766929063691526e-06,4.872885441572176e-09,1.7796294689178467,0.7203058901967088,0.7253117574394418,0.7280973329155332,0.7136171487492624,0.7316400490766705,0.7084250947920585,0.7655889683110022,0.7297615562901483,0.7314937166319009,0.0571638735189437,0.37325079958094537,0.9231680773035423,12,0.06542325019836426,0.0,0.49875,0.00125,0.25125,0.0,0.5,0.5,2.4077129969768407e-06,0.24999939807142033,0.999997592287003,0.0012369155883789062,2.0541069111150932e-07,-5.0127264949706285e-08,4.104241525848005e-05,4.080103145512557e-05,5.140984449584478e-05,5.7872694116883624e-05,0.00018276123486194687,1.674602009025831e-09,-5.872724648555402e-10,193.54032480859826,0.0011131763458251953
0.2,RT160x200-200.vtk,161,201,477,478,1.00011679015305,0.9999999895793619,near_linear,7182.653535604477,0.7304389476776123,7189.001662492752,0.00265397713635456,1.003061776445431,0.2757652238063979,0.5429769392033543,1.4175787955306164e-05,2.0,6,9,11,8.088655312543658e-06,9.631079631589046e-06,1.7719734944132703e-05,0.24999998474135365,1.7719734944132703e-05,-1.976608761811512,0.09807743415698755,0.014741466957153237,5.3883045840191824e-08,3.2108089424928887e-10,1.3005342615401934,0.027992192697865015,0.24999999999999992,2489.902230994474,456.1109125152646,0.025631024343370203,0.003435654012803213,0.08515836975765456,2.1235406478761254e-06,3.752520058362012e-09,0.15176568265027424,0.104276921229983,0.3999999999999999,2.111253465510543e-06,3.398695447991427e-09,0.025631024343370203,0.003435654012803213,0.08515836975765456,2.1173970566933343e-06,3.752520058362012e-09,2.7637858390808105,0.7203058901967087,0.7253098259062358,0.7280951337978576,0.7136176959555152,0.7316168761568064,0.7084241044366493,0.7655462925716705,0.7297601918686263,0.7314933343261927,0.057122188135021235,0.3735166338786661,0.9231894441368566,12,0.06432485580444336,0.0,0.49875,0.00125,0.25125,0.0,0.5,0.5,5.890142756559413e-05,0.24998527463878714,0.9999410985724344,0.0013132095336914062,-2.8678476690422005e-08,-8.544930516684066e-08,3.559305155425559e-05,3.5530238207334026e-05,4.47172787299428e-05,5.0291860872834814e-05,0.0001561376284161089,1.2646315730068974e-09,-4.253663164606593e-10,394.54452054485944,0.0011243820190429688
0.4,RT160x200-400.vtk,161,201,477,478,0.8573747510950966,0.9642712026635653,near_linear,5191.642255306244,0.7259373664855957,5196.981378793716,0.0038671752862759223,1.0064955035269942,0.2847624335205725,0.5387840670859538,2.065588888966379e-05,2.0,6,11,11,1.7145669275381303e-05,2.0477084673758972e-05,3.7622753949140275e-05,0.24999994882931456,3.7622753949140275e-05,-2.1875868538763954,0.1050844921280335,0.014741267787839591,2.436904186537581e-07,1.4863102060661607e-09,0.9951595838415476,0.019196527219560888,0.24999999999999992,2489.8422030041925,456.10728318861817,-0.014139159138780376,0.0010383527836135276,0.08515836975765456,1.7493602542058211e-06,3.7281018201886495e-09,0.11021437357848046,0.05577167834099339,0.3999999999999999,1.7523466915939497e-06,3.452763619157375e-09,-0.014139159138780376,0.0010383527836135276,0.08515836975765456,1.7508534728998855e-06,3.7281018201886495e-09,2.2684147357940674,0.7203058901967087,0.7253072941226523,0.7280920625223857,0.713620069286729,0.7315995639966255,0.7084268609594877,0.7655126725913242,0.7297575972934325,0.7314912471222981,0.05708581163183646,0.37366091020152437,0.9232122624251777,12,0.05175971984863281,0.0,0.49875,0.00125,0.25125,0.0,0.5,0.5,0.00011445156156786318,0.24997138710518504,0.9998855484384321,0.00107574462890625,-8.522062992228117e-09,6.124003550155382e-08,3.15291189108302e-05,3.159987235767032e-05,3.973072492949943e-05,4.4639008672705014e-05,0.00013675754091316362,9.963186361571636e-10,-2.999593572510607e-10,510.50361715488447,0.0008845329284667969
0.599,RT160x200-599.vtk,161,201,477,478,1.0002953985431657,0.999999994243814,near_linear,16794.402153015137,0.5906984806060791,16800.05406022072,0.00505821215962663,1.0110096646605082,0.28809840021642724,0.5387840670859538,2.7017618963481146e-05,2.0,6,11,11,2.950530011236463e-05,3.486076341416289e-05,6.436606352652752e-05,0.2499999350313351,6.436606352652752e-05,-2.1707075566923075,0.10984702342030639,0.014741024549453672,7.135738743284134e-07,4.395663552630861e-09,0.8034844282498216,0.013886967736126632,0.24999999999999992,2489.763308141056,456.1024978561341,-0.059983317566359697,0.017844215422354037,0.08515836975765456,1.4805965570259194e-06,3.6960949078823584e-09,0.0667944001348296,0.020745521768095965,0.3999999999999999,1.5125174844244603e-06,3.625463494695876e-09,-0.059983317566359697,0.017844215422354037,0.08515836975765456,1.49655702072519e-06,3.6960949078823584e-09,2.2625985145568848,0.7203058901967087,0.7253039339958522,0.7280877996491297,0.7136230859537507,0.7315773357957549,0.7084303441257283,0.7654698550339152,0.7297532068045913,0.7314865262169576,0.05703951090818693,0.3738261836288394,0.9232410295712338,12,0.05191779136657715,0.0,0.49875,0.00125,0.25125,0.0,0.5,0.5,0.0001869608155137259,0.24995325979156788,0.9998130391844863,0.0010683536529541016,5.844918580850002e-09,-3.035064688446254e-08,2.8225939022200463e-05,2.8625505508956947e-05,3.5711827785097213e-05,4.020104668603969e-05,0.00018345742574768322,8.080615996641516e-10,-2.182228326563347e-10,919.7010862719521,0.0008027553558349609
0.799,RT160x200-799.vtk,161,201,477,478,1.0007217962796744,0.9999999610527669,near_linear,19898.834317684174,0.5840682983398438,19904.060112714767,0.006432010132718759,1.0175054175792722,0.28929185120544965,0.5387840670859538,3.435553777718026e-05,2.0,6,11,11,4.8298473641794626e-05,5.5778895785618676e-05,0.0001040773694274133,0.24999989183038046,0.0001040773694274133,-2.030076404911882,0.0989203445609198,0.014740976645435246,1.8336802041319028e-06,1.1334444589050407e-08,0.6574365840679278,0.010087330635817682,0.24999999999999992,2489.649436273037,456.09556049840285,-0.0961322073398083,0.043590217689678634,0.08515836975765456,1.2978662210576421e-06,3.6511411813525418e-09,0.04444129355320425,0.008879897570285844,0.3999999999999999,1.400465234268709e-06,3.822233299035547e-09,-0.0961322073398083,0.043590217689678634,0.08515836975765456,1.3491657276631756e-06,3.6511411813525418e-09,2.2862319946289062,0.7203058901967088,0.7252992553768205,0.7280816249243909,0.7136259059269319,0.7315389789025165,0.7084321098514552,0.7653985364778606,0.7297457639893099,0.7314771566262999,0.056966426626405386,0.37414413014937586,0.9232815863537329,12,0.05181527137756348,0.0,0.49875,0.00125,0.25125,0.0,0.5,0.5,0.00029060088091314995,0.24992734977504963,0.9997093991190869,0.0011696815490722656,1.2610310478756693e-09,1.199318178375134e-08,2.5674309626557254e-05,2.6957835997801566e-05,3.264298543439077e-05,3.722761397016071e-05,0.00026908543702554793,6.929475482423483e-10,-1.6469297800647882e-10,2182.87186396152,0.0008168220520019531
0.999,RT160x200-999.vtk,161,201,477,478,1.0019362562905123,0.9999994212085437,near_linear,19771.73314142227,0.5817172527313232,19777.01002717018,0.008169426559973615,1.0273638378824927,0.2981515400246299,0.5345911949685535,4.363566552412107e-05,2.0,6,12,11,7.824107422427229e-05,8.965711525699138e-05,0.00016789818948126367,0.24999982451049124,0.00016789818948126367,-2.009497445116771,0.09603292215833781,0.014740787445705483,4.613262834182607e-06,2.832011612608852e-08,0.5321268013288855,0.007094171399943394,0.24999999999999992,2489.4787136562,456.08509313464265,-0.11427647154346766,0.059676382514393,0.08515836975765456,1.1925453063117016e-06,3.593534342111661e-09,0.06088069791408555,0.015111738395991892,0.3999999999999999,1.457635741973993e-06,4.095771573988848e-09,-0.11427647154346766,0.059676382514393,0.08515836975765456,1.3250905241428472e-06,3.593534342111661e-09,2.31418514251709,0.7203058901967087,0.7252923511343823,0.7280718898059182,0.7136280356217173,0.7314740898283887,0.7084303788147353,0.765281671914039,0.729731476135582,0.7314564523322085,0.0568512930993037,0.37468096431227205,0.9233397115993167,12,0.052030324935913086,0.0,0.49875,0.00125,0.25125,0.0,0.49975,0.49984375,0.00044369132832255964,0.2498890771630099,0.9995563086716774,0.001131296157836914,-1.0880787961656647e-09,-2.8886191202256467e-09,2.398247408168116e-05,2.7384789607686487e-05,3.045831003165716e-05,3.640172763020731e-05,0.00041009960173957026,6.625428824678812e-10,-1.3703509534771627e-10,8338.833534953044,0.0008063316345214844
1.199,RT160x200-1199.vtk,161,201,477,478,1.0044312608366377,0.9999973398398111,near_linear,24588.736210107803,0.5896217823028564,24594.19084739685,0.010451705916705932,1.042762240487351,0.2969610716351769,0.5345911949685535,5.582609014106006e-05,2.0,6,12,11,0.00012726263196188858,0.00014755034053950955,0.00027481297250139813,0.24999970433732382,0.00027481297250139813,-2.163306596632684,0.10302345482401587,0.014740834386852088,1.1441059058914822e-05,6.92807041781298e-08,0.41710135755945954,0.004651994334950782,0.24999999999999992,2489.220436183652,456.069102378286,-0.09494917810055822,0.04094555505778252,0.08515836975765456,1.1827577250816427e-06,3.536418157139502e-09,0.15472809717505492,0.07787324391832562,0.3999999999999999,1.8339245885227235e-06,4.451358166761505e-09,-0.09494917810055822,0.04094555505778252,0.08515836975765456,1.5083411568021832e-06,3.536418157139502e-09,2.358825922012329,0.7203058901967087,0.7252813106607168,0.7280549275739951,0.7136292537348939,0.7313678650355547,0.7084234768221338,0.7650953465477048,0.7297013667305332,0.7314082968502327,0.056671869725571034,0.37545770082116353,0.9234239987262999,12,0.0573883056640625,0.0,0.49875,0.00125,0.25125,6.25e-05,0.49940625,0.49934375,0.0006699283201574424,0.2498325179148942,0.9993300716798426,0.0011429786682128906,-6.942388706865675e-11,-1.258717868606277e-09,2.3570236948837087e-05,3.149448539672994e-05,2.9229092588696395e-05,3.933775135691351e-05,0.0006317645721653537,7.737293401145802e-10,-1.4061135492734842e-10,22065.13421343392,0.0009553432464599609
1.399,RT160x200-1399.vtk,161,201,477,478,1.0099357409220577,0.999993782229641,near_linear,37421.402297496796,0.6114554405212402,37426.69698262215,0.013462005582773605,1.0675119716163335,0.3043720038525184,0.5303983228511531,7.190511703377828e-05,2.0,6,12,11,0.00020976702996683416,0.0002461464148397763,0.00045591344480661045,0.24999948596717642,0.00045591344480661045,-1.293419430305203,0.03460079730283794,0.014740740740740747,3.0241203532923944e-05,1.7493795173961616e-07,0.304180610729735,0.0026353599384413284,0.24999999999999992,2488.8313307805793,456.04464748948794,-0.019417183702824338,0.0017684334157732629,0.08515836975765456,1.3252833725450321e-06,3.4658932062058085e-09,0.34273360471353226,0.24553228186907916,0.3999999999999999,2.8879345767009066e-06,4.905236962602917e-09,-0.019417183702824338,0.0017684334157732629,0.08515836975765456,2.1066089746229695e-06,3.4658932062058085e-09,2.305206298828125,0.7203058901967087,0.7252618461553159,0.7280220648799787,0.7136310924425078,0.7312048430293655,0.7084127635438455,0.7648164442295879,0.7296331142095303,0.7312920813674497,0.05640368068574242,0.3762227997835034,0.9235453794000905,12,0.052332401275634766,0.0,0.49875,0.00125,0.25125,0.00078125,0.49878125,0.49884375,0.0009980954673881604,0.2497504761278809,0.9990019045326118,0.0010311603546142578,1.5230495680934505e-10,1.5945438534515477e-09,2.526366823851168e-05,4.128580465144683e-05,2.904037666922369e-05,4.840217558280598e-05,0.0009709451764873177,1.1713852992915061e-09,-1.9989351078028135e-10,21366.88859167261,0.0008285045623779297
1.599,RT160x200-1599.vtk,161,201,477,478,1.0192487448665417,0.9999951723462243,near_linear,36245.85546588898,0.5847718715667725,36251.12970876694,0.01763538707945241,1.1091368606840282,0.3057693704332881,0.5303983228511531,9.419655667849923e-05,2.0,6,11,10,0.00035480466283768775,0.0004276025760104052,0.0007824072388480929,0.2499989827259708,0.0007824072388480929,-1.3751719528180337,0.04010879322429628,0.014740740740740747,8.017163457944486e-05,4.4710467620027167e-07,0.18789156541314883,0.0010712710130023062,0.24999999999999992,2488.2533191052016,456.00746705233934,0.1509988890590769,0.09500551930823209,0.08515836975765456,1.7810166222140106e-06,3.3891963473455525e-09,0.6052707109252244,0.4369488881397896,0.015280964949867509,5.443150959329873e-06,8.799732227908268e-09,0.1509988890590769,0.09500551930823209,0.08515836975765456,3.6120837907719417e-06,3.3891963473455525e-09,2.298300266265869,0.7203058901967087,0.7252208444389049,0.7279459176622025,0.7136448261098419,0.7309911854768388,0.7084185838633144,0.7644659587931493,0.729454526500904,0.7309757531097152,0.056047374929834914,0.3753243156155724,0.9237147214854,12,0.052008628845214844,0.0,0.49875,0.00125,0.25125,0.00171875,0.49840625,0.4983125,0.001455758573231103,0.24963606035141922,0.9985442414267689,0.0010502338409423828,-3.724701135630166e-11,-1.399469555418998e-09,3.0487564253892343e-05,5.894598262622521e-05,3.0181369741751963e-05,6.636354755335463e-05,0.0014793270729859954,2.2020602209532296e-09,-3.726754340138688e-10,33519.48798485096,0.0008859634399414062
1.799,RT160x200-1799.vtk,161,201,477,478,1.0301174948490521,0.9999722907021862,complex_fractal,2697.494964361191,0.5829901695251465,2702.7921352386475,0.023827544718661157,1.186114648712787,0.35793468864880174,0.5262054507337526,0.001142645307813428,2.0,7,11,10,0.0006302801522669044,0.0007980264824998806,0.001428306634766785,0.2499974118673659,0.001428306634766785,-1.929179847509865,0.10501185916556588,0.014740740740740747,0.00022100315731124904,1.1818712254919982e-06,0.06373225843569665,0.0001315373892833982,0.24999999999999992,2487.415564505424,455.95161006523324,0.4121936622830939,0.417635395719713,0.01248554170880437,2.887994419453427e-06,3.918696865580234e-09,0.9035090992285411,0.5735066734251721,0.015280964949867509,1.1322258229006296e-05,1.8356185456903447e-08,0.4121936622830939,0.417635395719713,0.01248554170880437,7.105126324229861e-06,3.918696865580234e-09,2.322976589202881,0.7203058901967087,0.7250878890301543,0.7276810708924734,0.7137638783134107,0.7309899519025507,0.7086271720162114,0.7645567464383554,0.7289158855809769,0.7301439007999908,0.05592957442214397,0.3627546566263991,0.9239499835476114,12,0.052462100982666016,0.0024999999999999745,0.25125,0.24875,0.25125,0.00278125,0.49815625,0.49809375,0.0020500438120163444,0.24948748904171666,0.9979499561879837,0.0009448528289794922,-1.3033167470012923e-11,8.338037971719474e-10,4.07113433405033e-05,8.722259591757603e-05,3.3125346435842394e-05,9.625588146126184e-05,0.002222008241219333,4.632597357594546e-09,-7.884834304108855e-10,81619.76883589006,0.0008394718170166016
